Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Luzon,3.737480755276997E10,323263.5999999996,274.5901426718547,99.87029831387808,100.0
Region X,Mindanao,2.1108791834060005E10,117252.7249999987,363.4,100.0,27.40722849165527
Region VIII,Visayas,1.875716056723E10,61098.64999999851,261.73333333333335,100.0,19.82892317148916
Region IX,Mindanao,4.2926900707200003E9,49482.39499999955,347.5326086956522,100.0,12.094291679260548
Region XII,Mindanao,1.1853038840210001E10,19118.14500000328,272.37142857142857,100.0,5.962194698018812
Region II,Luzon,2.249243399221E10,10000.0,255.11711711711712,100.0,3.3294856797051104
Region IV-B,Luzon,2.2432789116380005E10,2975.634999997914,267.1335403726708,99.68944099378882,0.9461027705867172
Region III,Luzon,6.251791197178997E10,2244.009999997914,215.59814814814814,100.0,0.8840237376622531
Cordillera Administrative Region,Luzon,1.4557082197870008E10,2461.789999999106,240.486301369863,100.0,0.8694489384444738
Region I,Luzon,2.4127224108760006E10,1870.6299999994226,229.62673611111111,98.61111111111111,0.6918903735838323
Region IV-A,Luzon,3.461301096301999E10,738.3699999973178,256.5313868613139,99.85401459854015,0.24440023135252675
Region VI,Visayas,1.9178049284749996E10,845.390000000596,313.5051020408163,100.0,0.22896534667531926
Region V,Luzon,4.2471531344450035E10,236.2799999974668,237.26598837209303,100.0,0.08449987991053146
Region XIII,Mindanao,1.868674137337E10,202.64999999850988,329.9113924050633,100.0,0.05208653533123627
Region VII,Visayas,2.7449467562050007E10,28.299999997019768,250.72591006423983,99.78586723768737,0.009497418070168758
Region XI,Mindanao,1.7878556404670006E10,0.3100000023841858,291.5748299319728,100.0,0.0
