region,main_island,ProjectCount,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Unknown,771,37374807552.77,323263.6,274.59,99.87,100
Region X,Mindanao,320,21108791834.06,117252.72,363.4,100,27.41
Region VIII,Visayas,405,18757160567.23,61098.65,261.73,100,19.83
Region IX,Mindanao,92,4292690070.72,49482.39,347.53,100,12.09
Region XII,Mindanao,210,11853038840.21,19118.15,272.37,100,5.96
Region II,Luzon,444,22492433992.21,10000,255.12,100,3.33
Region IV-B,Luzon,322,22432789116.38,2975.63,267.13,99.69,0.95
Region III,Luzon,1080,62517911971.79,2244.01,215.6,100,0.88
Cordillera Administrative Region,Unknown,292,14557082197.87,2461.79,240.49,100,0.87
Region I,Luzon,576,24127224108.76,1870.63,229.63,98.61,0.69
Region IV-A,Luzon,685,34613010963.02,738.37,256.53,99.85,0.24
Region VI,Visayas,392,19178049284.75,845.39,313.51,100,0.23
Region V,Luzon,688,42471531344.45,236.28,237.27,100,0.08
Region XIII,Mindanao,237,18686741373.37,202.65,329.91,100,0.05
Region VII,Visayas,467,27449467562.05,28.3,250.73,99.79,0.01
Region XI,Mindanao,294,17878556404.67,0.31,291.57,100,0
