Rank,Contractor,ProjectCount,TotalContractCost,AvgCompletionDelayDays,TotalCostSavings,ReliabilityIndex,RiskLevel
1,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),99,7461429841.11,293.29,57784287.18,-1.75,High Risk
2,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",43,5571167253.77,344.63,21131666.41,-1.07,High Risk
3,QM BUILDERS,75,5561648399.87,233.97,2912517.2,-0.08,High Risk
4,ST. TIMOTHY CONSTRUCTION CORPORATION,77,4781019339.35,275.57,64637489.11,-2.79,High Risk
5,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,74,4665741721.01,289.26,59801925.17,-2.84,High Risk
6,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,48,3645407914.48,264.06,49374197.45,-2.62,High Risk
7,"L.R. TIQUI BUILDERS, INC.",41,3516058642.15,329.51,36279749.11,-2.75,High Risk
8,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,35,3124038144.17,253.49,41683537.07,-2.42,High Risk
9,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,46,3063654299.11,298.39,309710972.14,-23.41,High Risk
10,"M. MONTESCLAROS ENTERPRISES, INC.",28,3048143528.58,477.93,73121350.67,-10.34,High Risk
11,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",41,2903046039.1,253.76,53588020.7,-3.36,High Risk
12,MG SAMIDAN CONSTRUCTION,32,2831491351.49,230.69,2557448.69,-0.14,High Risk
13,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),37,2817068077.87,262.81,56999181.49,-3.89,High Risk
14,BICOL GOLDROCK CONSTRUCTION CORPORATION,39,2803568829.1,269.21,10375390.61,-0.74,High Risk
15,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,35,2773389887.49,287.49,9678954.23,-0.77,High Risk
