FundingYear,TypeOfWork,TotalProjects,AvgCostSavings,OverrunRate,YoYChangePercent
2021,Construction of Slope Protection Structure,13,11626013.57,0,0
2021,Construction of Flood Mitigation Structure,189,3495845.63,4.76,0
2021,Construction of Drainage Structure,17,2625430.55,0,0
2021,Rehabilitation / Major Repair of Flood Control Structure,12,1003864.36,0,0
2021,Construction of Dike,2,480085.02,0,0
2021,Construction of Revetment,31,407315.79,0,0
2021,Rehabilitation / Major Repair of Drainage Structure,2,2589.04,0,0
2022,Rehabilitation / Major Repair of Flood Mitigation Facility,1,4370780.74,0,0
2022,Construction of Flood Mitigation Structure,2199,1232550.98,10.23,-64.74
2022,Rehabilitation / Major Repair of Flood Control Structure,269,1030097.59,14.5,2.61
2022,Construction of Flood Mitigation Facility,46,939757.62,19.57,0
2022,Construction of Slope Protection Structure,319,928704.69,7.52,-92.01
2022,Construction of Groundsill,2,752371.18,0,0
2022,Construction of Drainage Structure,245,742042.84,7.76,-71.74
2022,Rehabilitation / Major Repair of Slope Protection Structure,19,710108.78,10.53,0
2022,Construction of Dike,83,706756.65,12.05,47.21
2022,Construction of Revetment,286,488831.68,2.1,20.01
2022,Rehabilitation / Major Repair of Drainage Structure,94,456609.19,7.45,17536.24
2022,Construction of Cutoff Channel,1,196492.23,0,0
2022,Embankment,1,82651.9,0,0
2022,Construction of Waterway,1,0.5,0,0
2022,Construction of Spur Dike,2,-99.94,50,0
2023,Rehabilitation / Major Repair of Flood Control Structure,216,1110524.37,6.94,7.81
2023,Construction of Flood Mitigation Facility,74,1010904.89,17.57,7.57
2023,Construction of Flood Mitigation Structure,2262,903205.18,7.96,-26.72
2023,Rehabilitation / Major Repair of Slope Protection Structure,13,827947.12,0,16.59
2023,Rehabilitation / Major Repair of Flood Mitigation Facility,5,742935.05,0,-83
2023,Rehabilitation / Major Repair of Drainage Structure,71,609033.11,0,33.38
2023,Construction of Slope Protection Structure,199,539668.46,5.53,-41.89
2023,Construction of Revetment,238,521288.35,2.52,6.64
2023,Construction of Waterway,1,356123.39,0,71224578
2023,Construction of Drainage Structure,242,329238.14,4.13,-55.63
2023,Construction of Spur Dike,1,318022.73,0,-318329.58
2023,Construction of Groundsill,9,235146.99,0,-68.75
2023,Construction of Cutoff Channel,1,198580.99,0,1.06
2023,Construction of Dike,97,22179.13,1.03,-96.86
2023,Repair/Maintenance of Flood Control Structures,1,1005.69,0,0
2023,Upgrading of Drainage Structure,1,0,0,0
